ano_eleicao,leg,nome_grupo,nome_normalizado,id_mandato,id_pessoa,sq_cand,metodo,nome_completo,dt_nasc,partido_tse,k,k_pu,condicao
2022,"20","GLALBERT CUTRIM","GLALBERT CUTRIM","M2022_MA_7_12123_100001599573","BOCEL0193982","100001599573","nome_parlamentar_x_urna","GLALBERT NASCIMENTO CUTRIM","1988-11-01","PDT","GLALBERT CUTRIM","GLALBERT CUTRIM","titular"
2022,"20","GUILHERME PAZ","GUILHERME PAZ","M2022_MA_7_51000_100001608121","BOCEL0136151","100001608121","nome_parlamentar_x_urna","GUILHERME FONSECA PAZ","1978-11-06","PATRIOTA","GUILHERME PAZ","GUILHERME PAZ","titular"
2022,"20","DR HELENA DUAILIBE","HELENA DUAILIBE",NA,NA,"100001608103","suplente_nome_parlamentar_x_urna","HELENA MARIA DUAILIBE FERREIRA","30/12/1958",NA,"DR HELENA DUAILIBE","DR DUAILIBE","suplente"
2022,"20","HEMETERIO WEBA","HEMETERIO WEBA","M2022_MA_7_11000_100001608098","BOCEL0042355","100001608098","nome_parlamentar_x_urna","HEMETERIO WEBA FILHO","1951-03-03","PP","HEMETERIO WEBA","HEMETERIO WEBA","titular"
2022,"20","IRACEMA VALE","IRACEMA VALE","M2022_MA_7_40444_100001607060","BOCEL0044806","100001607060","nome_parlamentar_x_urna","IRACEMA CRISTINA VALE LIMA","1968-06-18","PSB","IRACEMA VALE","IRACEMA VALE","titular"
2022,"20","JANAINA","JANAINA",NA,NA,NA,NA,NA,NA,NA,"JANAINA",NA,"suplente"
2022,"20","JANAINA RAMOS","JANAINA RAMOS","M2022_MA_7_10789_100001602653","BOCEL0172061","100001602653","nome_parlamentar_x_urna","JANAINA LIMA ARAÚJO RAMOS","1987-03-10","REPUBLICANOS","JANAINA RAMOS","JANAINA RAMOS","titular"
2022,"20","JOAO BASTISTA SEGUNDO","JOAO BASTISTA SEGUNDO",NA,NA,"100001608118","suplente_primeiro_ultimo_x_urna","JOÃO BATISTA GONCALVES DE CASTRO SEGUNDO","05/07/1988",NA,"JOAO BASTISTA SEGUNDO","JOAO SEGUNDO","suplente"
2022,"20","JOAO BASTISTA SEGUNDO","JOAO BATISTA SEGUNDO",NA,NA,"100001608118","suplente_primeiro_ultimo_x_urna","JOÃO BATISTA GONCALVES DE CASTRO SEGUNDO","05/07/1988",NA,"JOAO BASTISTA SEGUNDO","JOAO SEGUNDO","suplente"
2022,"20","JOTA PINTO","JOTA PINTO",NA,NA,"100001614800","suplente_nome_parlamentar_x_urna","JOSÉ BENEDITO PINTO","05/11/1964",NA,"JOTA PINTO","JOTA PINTO","suplente"
2022,"20","JULIO MENDONCA","JULIO MENDONCA","M2022_MA_7_65777_100001613752","BOCEL0001076","100001613752","nome_parlamentar_x_urna","JULIO CESAR MENDONCA CORREA","1968-02-20","PC do B","JULIO MENDONCA","JULIO MENDONCA","titular"
2022,"20","JUNIOR CASCARIA","JUNIOR CASCARIA","M2022_MA_7_19888_100001614806","BOCEL0099307","100001614806","nome_parlamentar_x_urna","AUGUSTO INÁCIO PINHEIRO JUNIOR","1969-07-08","PODE","JUNIOR CASCARIA","JUNIOR CASCARIA","titular"
2022,"20","JUNIOR FRANCA","JUNIOR FRANCA","M2022_MA_7_11444_100001608097","BOCEL0128168","100001608097","nome_parlamentar_x_urna","JOSE GEOVANI LOPES DE QUEIROZ JUNIOR","1980-05-27","PP","JUNIOR FRANCA","JUNIOR FRANCA","titular"
2022,"20","JUNIOR VIEIRA","JUNIOR VIEIRA",NA,NA,"100001620096","suplente_nome_parlamentar_x_urna","VALDECY VIEIRA JUNIOR","17/11/1982",NA,"JUNIOR VIEIRA","JUNIOR VIEIRA","suplente"
