legislatura,nome,n_datas,n_vocabulos,primeira,ultima
19,MÁRCIA BASTOS BALAZEIRO COELHO,1,4,2022-11-29,2022-11-29
20,RESPECTIVAMENTE,3,1,2023-03-21,2023-09-12
20,JOEL DA HARPA PARA PRIMEIRA,2,4,2023-05-03,2023-09-12
20,CASAS BANDEIRANTES,1,2,2023-11-13,2023-11-13
20,GRUPO TUPAN,1,2,2023-11-13,2023-11-13
20,Isaias Régis,1,2,2024-04-02,2024-04-02
20,Claudiano Martins,2,2,2024-04-02,2025-08-18
20,CONSIDERARA-SE,1,1,2024-05-15,2024-05-15
20,FRANCISCO ROBERTO MACHADO,1,3,2024-06-06,2024-06-06
20,CID MARCONI GURGEL DE SOUZA,1,4,2024-06-06,2024-06-06
20,LEONARDO HENRIQUE DE CAVALCANTE CARVALHO,1,4,2024-06-06,2024-06-06
20,LEONARDO AUGUSTO NUNES COUTINHO,1,4,2024-06-06,2024-06-06
20,Willian Brígido,1,2,2025-08-18,2025-08-18
20,JOÃO PAULO COSTA MÁRIO RICARDO,1,5,2026-03-31,2026-03-31
15,Maviael Cavalacanti,2,2,2003-05-16,2003-09-02
